t	y
601	15,0155
602	15,0153
603	15,0151
604	15,0149
605	15,0147
606	15,0144
607	15,0142
608	15,014
609	15,0138
610	15,0137
611	15,0135
612	15,0133
613	15,0131
614	15,0129
615	15,0127
616	15,0125
617	15,0124
618	15,0122
619	15,012
620	15,0118
621	15,0117
622	15,0115
623	15,0114
624	15,0112
625	15,011
626	15,0109
627	15,0107
628	15,0106
629	15,0104
630	15,0103
631	15,0101
632	15,01
633	15,0098
634	15,0097
635	15,0096
636	15,0094
637	15,0093
638	15,0092
639	15,009
640	15,0089
641	15,0088
642	15,0086
643	15,0085
644	15,0084
645	15,0083
646	15,0082
647	15,008
648	15,0079
649	15,0078
650	15,0077
651	15,0076
652	15,0075
653	15,0074
654	15,0073
655	15,0072
656	15,0071
657	15,007
658	15,0069
659	15,0068
660	15,0067
661	15,0066
662	15,0065
663	15,0064
664	15,0063
665	15,0062
666	15,0061
667	15,006
668	15,0059
669	15,0059
670	15,0058
671	15,0057
672	15,0056
673	15,0055
674	15,0054
675	15,0054
676	15,0053
677	15,0052
678	15,0051
679	15,0051
680	15,005
681	15,0049
682	15,0048
683	15,0048
684	15,0047
685	15,0046
686	15,0046
687	15,0045
688	15,0044
689	15,0044
690	15,0043
691	15,0043
692	15,0042
693	15,0041
694	15,0041
695	15,004
696	15,004
697	15,0039
698	15,0038
699	15,0038
700	15,0037
701	15,0037
702	15,0036
703	15,0036
704	15,0035
705	15,0035
706	15,0034
707	15,0034
708	15,0033
709	15,0033
710	15,0032
711	15,0032
712	15,0031
713	15,0031
714	15,003
715	15,003
716	15,0029
717	15,0029
718	15,0029
719	15,0028
720	15,0028
721	15,0027
722	15,0027
723	15,0027
724	15,0026
725	15,0026
726	15,0025
727	15,0025
728	15,0025
729	15,0024
730	15,0024
731	15,0024
732	15,0023
733	15,0023
734	15,0023
735	15,0022
736	15,0022
737	15,0022
738	15,0021
739	15,0021
740	15,0021
741	15,002
742	15,002
743	15,002
744	15,0019
745	15,0019
746	15,0019
747	15,0019
748	15,0018
749	15,0018
750	15,0018
751	15,0018
752	15,0017
753	15,0017
754	15,0017
755	15,0017
756	15,0016
757	15,0016
758	15,0016
759	15,0016
760	15,0015
761	15,0015
762	15,0015
763	15,0015
764	15,0014
765	15,0014
766	15,0014
767	15,0014
768	15,0014
769	15,0013
770	15,0013
771	15,0013
772	15,0013
773	15,0013
774	15,0012
775	15,0012
776	15,0012
777	15,0012
778	15,0012
779	15,0012
780	15,0011
781	15,0011
782	15,0011
783	15,0011
784	15,0011
785	15,0011
786	15,001
787	15,001
788	15,001
789	15,001
790	15,001
791	15,001
792	15,001
793	15,0009
794	15,0009
795	15,0009
796	15,0009
797	15,0009
798	15,0009
799	15,0009
800	15,0008
801	15,0008
802	15,0008
803	15,0008
804	15,0008
805	15,0008
806	15,0008
807	15,0008
808	15,0007
809	15,0007
810	15,0007
811	15,0007
812	15,0007
813	15,0007
814	15,0007
